Ref ID,Operator (or Applicant),Site Name,Technology Type,Installed Capacity (MWelec),Development Status,Development Status (short),County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Under Construction,Operational,Solar Site Area (sqm),development_status_clean,distance_to_boundary_m,within_5km_boundary_proxy,within_10km_boundary_proxy,proximity_score,capacity_score,preliminary_exposure_score,screening_category
5310,Anesco,"Parklands         
",Solar Photovoltaics,4.6,Operational,Operational,Gloucestershire,South West,England,BS32 4B,361833,184427,South Gloucestershire,15/12/2015,15/02/2016,578000.0,operational,128675.14836723918,False,False,0,1,1,Low
5312,Langley Eco,Amcor Flexibles,Solar Photovoltaics,1.7,Operational,Operational,Gloucestershire,South West,England,BS34 6PT,363561,180524,South Gloucestershire,01/09/2015,01/11/2015,4500.0,operational,124527.08447799615,False,False,0,0,0,Low
5315,New Forest Energy,Waterditch Solar Farm,Solar Photovoltaics,18.0,Operational,Operational,Dorset,South West,England,BH23,417600,95536,"Bournemouth, Christchurch and Poole",01/01/2016,31/03/2016,35000.0,operational,31284.58838226405,False,False,0,2,2,Medium
5316,T J Coates Ltd,Land Off Ingarsby Lane,Solar Photovoltaics,2.1,Operational,Operational,Leicestershire,East Midlands,England,LE7 9JL,467878,304470,Harborough,05/04/2016,05/06/2016,118000.0,operational,200039.2883575005,False,False,0,0,0,Low
5320,Nissan / On-Site Land Solutions,Nissan Test Track,Solar Photovoltaics,4.8,Operational,Operational,Tyne and Wear,North East,England,SR5 3NS,434270,558567,Sunderland,30/01/2016,30/03/2016,904900.0,operational,172124.48386175785,False,False,0,1,1,Low
5321,Suncredit UK/ Vogt solar ,Cooper House Farm,Solar Photovoltaics,5.0,Operational,Operational,Lancashire,North West,England,PR4 1HX,342344,430364,Fylde,15/01/2016,15/03/2016,487700.0,operational,291954.34461522865,False,False,0,1,1,Low
5322,Lightsource Renewable Energy,Land at Pollington Airfield,Solar Photovoltaics,5.0,Operational,Operational,Humberside,Yorkshire and Humber,England,DN14 0AU,461763,420079,East Riding of Yorkshire,02/11/2015,21/12/2015,959300.0,operational,178427.02872222042,False,False,0,1,1,Low
5323,Swancote Energy,Swancote Farm,Anaerobic Digestion,1.2,Operational,Operational,Shropshire,West Midlands,England,WV15 5HB,374234,293942,Shropshire,01/09/2015,01/08/2016,635200.0,operational,234239.88808462617,False,False,0,0,0,Low
5324,Sunsave 13 (Southwick),"Land at Poles Hole Farm     
",Solar Photovoltaics,6.8,Operational,Operational,Wiltshire,South West,England,BA14 9PP,383960,154595,Wiltshire,15/07/2016,01/03/2017,630000.0,operational,95384.07273409062,False,False,0,1,1,Low
5328,Lightsource Renewable Energy,"Staining Wood Farm
",Solar Photovoltaics,4.9,Operational,Operational,Lancashire,North West,England,PR4 3PH,336844,432004,Fylde,04/01/2016,30/03/2016,34523.0,operational,294445.0132891256,False,False,0,1,1,Low
5330,INRG Solar,"Land between Orton Park Farm    
",Solar Photovoltaics,6.4,Operational,Operational,Cumbria,North West,England,CA2 6QY,336729,553838,Cumberland,22/01/2016,29/03/2016,4500.0,operational,267982.1623984026,False,False,0,1,1,Low
5331,RAD Energy One/ Island Green Power,Ballinderry Road Solar Phase 2 (Lisburn),Solar Photovoltaics,7.0,Operational,Operational,Co. Antrim,Northern Ireland,Northern Ireland,BT28 2QP,135485,520798,Lisburn and Castlereagh,01/07/2016,20/02/2017,124000.0,operational,125726.22617393798,False,False,0,1,1,Low
5332,SBC Renewables,"Site To North East Of, Lochcraigs Farm
",Solar Photovoltaics,5.0,Operational,Operational,North Ayrshire,Scotland,Scotland,KA20 4LB,227518,643857,North Ayrshire,15/10/2016,31/03/2017,806400.0,operational,188299.29752427578,False,False,0,1,1,Low
5333,BWE Partnership,"West Mains of Kinblethmont 
",Solar Photovoltaics,5.0,Operational,Operational,Angus,Scotland,Scotland,DD11 4RW,363182,746857,Angus,15/02/2016,31/03/2016,316900.0,operational,196292.45969607198,False,False,0,1,1,Low
5336,Wessex Solar Energy,"Land West Side of Axe and Cleaver Lane 
",Solar Photovoltaics,5.0,Operational,Operational,Wiltshire,South West,England,BA14,385331,154796,Wiltshire,18/12/2015,31/03/2016,8200.0,operational,95338.087922703,False,False,0,1,1,Low
5340,Navitas Project,"Land To The North Of Moor Farm       
",Solar Photovoltaics,3.8,Operational,Operational,Shropshire,West Midlands,England,SY4 2,341738,323343,Shropshire,01/06/2016,11/03/2017,24600.0,operational,268924.7739190199,False,False,0,1,1,Low
