Ref ID,Operator (or Applicant),Site Name,Technology Type,Installed Capacity (MWelec),Development Status,Development Status (short),County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Under Construction,Operational,Solar Site Area (sqm),development_status_clean
5752,Veolia Energy Services,The Sawmill,Biomass (dedicated),6.80,Operational,Operational,Nottinghamshire,East Midlands,England,NG12 5PS,465176,327428,Rushcliffe,24/09/2015,24/03/2017,,operational
5755,Agri-Gen,Bentwaters Park,Anaerobic Digestion,2.00,Operational,Operational,Suffolk,Eastern,England,IP12 2TW,634881,253511,East Suffolk,01/11/2011,21/11/2012,,operational
5756,United Utilities,Godley Water Treatment Works,Solar Photovoltaics,3.00,Operational,Operational,Greater Manchester,North West,England,,396214,395374,Tameside,26/10/2015,22/04/2016,,operational
5780,FCC Environment,Eastcroft EfW (Lines 1 & 2),EfW Incineration,9.00,Operational,Operational,Nottinghamshire,East Midlands,England,,458200,339100,Nottingham,,01/01/1975,,operational
5786,BNRG (BL Solar),Park Farm,Solar Photovoltaics,5.00,Operational,Operational,West Sussex,South East,England,PO20 1LL,490501,101487,Arun,15/12/2015,24/03/2016,,operational
5793,New Energy for the World,Greaves Solar Farm,Solar Photovoltaics,5.00,Operational,Operational,Cumbria,North West,England,LA8 0NA,355498,488023,Westmorland and Furness,,31/03/2016,,operational
5795,NESF (formerly Lark Energy),Balhearty Solar,Solar Photovoltaics,5.00,Operational,Operational,Clackmannanshire,Scotland,Scotland,FK13 6NA,293723,695800,Clackmannanshire,01/02/2016,31/03/2016,,operational
5796,Green Switch Solutions/Belvedere Energy Developments - Liquidated,Weddington Farm,Solar Photovoltaics,2.10,Operational,Operational,Warwickshire,West Midlands,England,CV47 2SA,440523,257880,Stratford-on-Avon,24/08/2016,28/10/2016,,operational
5797,Lightsource Renewable Energy,Middle Balbeggie,Solar Photovoltaics,5.00,Operational,Operational,Fife,Scotland,Scotland,KY1 3NN,328855,695619,Fife,17/10/2016,27/01/2017,,operational
5816,Orsted (formerly Dong Energy),Land at Lostock Works (Northwich Facility),Anaerobic Digestion,5.00,Operational,Operational,Cheshire,North West,England,,367920,374201,Cheshire West and Chester,07/05/2016,20/10/2016,,operational
5824,Wirsol (formerly Susenco),Widehurst Farm,Solar Photovoltaics,5.00,Operational,Operational,Kent,South East,England,TN12 9LN,575536,142994,Maidstone,07/11/2016,15/03/2017,,operational
5828,Kingfisher Scottish Limited Partnership,Screwfix Direct,Solar Photovoltaics,2.50,Operational,Operational,Staffordshire,West Midlands,England,,388612,341995,Stoke-on-Trent,12/11/2015,12/01/2016,,operational
5829,Ramsey Solar,Land at Biggin Lane,Solar Photovoltaics,5.00,Operational,Operational,Cambridgeshire,Eastern,England,,527020,284650,Huntingdonshire,15/10/2015,15/03/2016,,operational
5832,Wirsol,Land at Barnham,Solar Photovoltaics,1.00,Operational,Operational,West Sussex,South East,England,,495086,103423,Arun,16/01/2017,20/02/2017,,operational
5834,Greencoat Capital,Ebnal Lodge ,Solar Photovoltaics,5.00,Operational,Operational,Shropshire,West Midlands,England,,331810,334117,Shropshire,12/12/2016,15/02/2017,,operational
5835,Sustainable Charlbury (Community),Southill Solar ,Solar Photovoltaics,4.50,Operational,Operational,Oxfordshire,South East,England,,436251,217933,West Oxfordshire,15/08/2016,14/11/2016,,operational
5838,Navitas Project,"Carver Hay, moss lane",Solar Photovoltaics,2.50,Operational,Operational,Lancashire,North West,England,,348519,423631,South Ribble,15/01/2017,20/03/2017,,operational
5848,UK Sustainable Energy,St Helen's Lane,Solar Photovoltaics,5.00,Operational,Operational,Cumbria,North West,England,,301675,532077,Cumberland,01/01/2017,28/03/2017,,operational
5852,Solar Farm DFD,Dale Farm,Solar Photovoltaics,4.90,Operational,Operational,Co. Tyrone,Northern Ireland,Northern Ireland,,94437,539069,Mid Ulster,15/09/2017,01/08/2018,,operational
